Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	monocyte differentiation (GO:0030224)	1/11	7.128500e-03	2.053899e-02	0	0	1.664750e+02	8.229949e+02	PPARG
GO_Biological_Process_2021	regulation of angiogenesis (GO:0045765)	2/203	7.428658e-03	2.127088e-02	0	0	1.789778e+01	8.774228e+01	LEP;PPARG
GO_Biological_Process_2021	negative regulation of gene silencing by miRNA (GO:0060965)	1/12	7.774217e-03	2.146056e-02	0	0	1.513333e+02	7.350173e+02	PPARG
GO_Biological_Process_2021	regulation of B cell apoptotic process (GO:0002902)	1/12	7.774217e-03	2.146056e-02	0	0	1.513333e+02	7.350173e+02	IRS2
GO_Biological_Process_2021	negative regulation of glucose transmembrane transport (GO:0010829)	1/12	7.774217e-03	2.146056e-02	0	0	1.513333e+02	7.350173e+02	LEP
GO_Biological_Process_2021	regulation of vascular associated smooth muscle cell migration (GO:1904752)	1/12	7.774217e-03	2.146056e-02	0	0	1.513333e+02	7.350173e+02	ADIPOQ
GO_Biological_Process_2021	regulation of natural killer cell activation (GO:0032814)	1/12	7.774217e-03	2.146056e-02	0	0	1.513333e+02	7.350173e+02	LEP
GO_Biological_Process_2021	very-low-density lipoprotein particle assembly (GO:0034379)	1/12	7.774217e-03	2.146056e-02	0	0	1.513333e+02	7.350173e+02	DGAT1
GO_Biological_Process_2021	negative regulation of inflammatory response (GO:0050728)	2/212	8.077009e-03	2.192888e-02	0	0	1.712294e+01	8.251090e+01	ADIPOQ;PPARG
GO_Biological_Process_2021	glucose import (GO:0046323)	1/13	8.419547e-03	2.192888e-02	0	0	1.387153e+02	6.626705e+02	SLC2A4
GO_Biological_Process_2021	negative regulation of gluconeogenesis (GO:0045721)	1/13	8.419547e-03	2.192888e-02	0	0	1.387153e+02	6.626705e+02	ADIPOQ
GO_Biological_Process_2021	positive regulation of insulin receptor signaling pathway (GO:0046628)	1/13	8.419547e-03	2.192888e-02	0	0	1.387153e+02	6.626705e+02	IRS1
GO_Biological_Process_2021	icosanoid secretion (GO:0032309)	1/13	8.419547e-03	2.192888e-02	0	0	1.387153e+02	6.626705e+02	LEP
GO_Biological_Process_2021	positive regulation of lipid transport (GO:0032370)	1/13	8.419547e-03	2.192888e-02	0	0	1.387153e+02	6.626705e+02	ADIPOQ
GO_Biological_Process_2021	cellular component maintenance (GO:0043954)	1/13	8.419547e-03	2.192888e-02	0	0	1.387153e+02	6.626705e+02	INSR
GO_Biological_Process_2021	lipid oxidation (GO:0034440)	1/13	8.419547e-03	2.192888e-02	0	0	1.387153e+02	6.626705e+02	ADIPOQ
GO_Biological_Process_2021	positive regulation of transporter activity (GO:0032411)	1/13	8.419547e-03	2.192888e-02	0	0	1.387153e+02	6.626705e+02	ADIPOQ
GO_Biological_Process_2021	regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640)	1/13	8.419547e-03	2.192888e-02	0	0	1.387153e+02	6.626705e+02	ADIPOQ
GO_Biological_Process_2021	ether lipid metabolic process (GO:0046485)	1/14	9.064489e-03	2.246629e-02	0	0	1.280385e+02	6.022149e+02	LIPE
GO_Biological_Process_2021	positive regulation of cellular response to insulin stimulus (GO:1900078)	1/14	9.064489e-03	2.246629e-02	0	0	1.280385e+02	6.022149e+02	IRS1
GO_Biological_Process_2021	regulation of cAMP-dependent protein kinase activity (GO:2000479)	1/14	9.064489e-03	2.246629e-02	0	0	1.280385e+02	6.022149e+02	ADIPOQ
GO_Biological_Process_2021	negative regulation of pri-miRNA transcription by RNA polymerase II (GO:1902894)	1/14	9.064489e-03	2.246629e-02	0	0	1.280385e+02	6.022149e+02	PPARG
GO_Biological_Process_2021	intestinal absorption (GO:0050892)	1/14	9.064489e-03	2.246629e-02	0	0	1.280385e+02	6.022149e+02	LEP
GO_Biological_Process_2021	negative regulation of smooth muscle cell migration (GO:0014912)	1/14	9.064489e-03	2.246629e-02	0	0	1.280385e+02	6.022149e+02	ADIPOQ
GO_Biological_Process_2021	cellular response to low-density lipoprotein particle stimulus (GO:0071404)	1/14	9.064489e-03	2.246629e-02	0	0	1.280385e+02	6.022149e+02	PPARG
GO_Biological_Process_2021	positive regulation of protein-containing complex disassembly (GO:0043243)	1/14	9.064489e-03	2.246629e-02	0	0	1.280385e+02	6.022149e+02	INSR
GO_Biological_Process_2021	monoacylglycerol metabolic process (GO:0046462)	1/14	9.064489e-03	2.246629e-02	0	0	1.280385e+02	6.022149e+02	DGAT1
GO_Biological_Process_2021	negative regulation of blood pressure (GO:0045776)	1/15	9.709044e-03	2.355721e-02	0	0	1.188869e+02	5.510048e+02	ADIPOQ
GO_Biological_Process_2021	regulation of sequestering of triglyceride (GO:0010889)	1/15	9.709044e-03	2.355721e-02	0	0	1.188869e+02	5.510048e+02	PPARG
GO_Biological_Process_2021	regulation of lymphocyte activation (GO:0051249)	1/15	9.709044e-03	2.355721e-02	0	0	1.188869e+02	5.510048e+02	LEP
GO_Biological_Process_2021	regulation of macrophage differentiation (GO:0045649)	1/15	9.709044e-03	2.355721e-02	0	0	1.188869e+02	5.510048e+02	ADIPOQ
GO_Biological_Process_2021	regulation of cellular carbohydrate metabolic process (GO:0010675)	1/16	1.035321e-02	2.472969e-02	0	0	1.109556e+02	5.071178e+02	ADIPOQ
GO_Biological_Process_2021	regulation of cholesterol storage (GO:0010885)	1/16	1.035321e-02	2.472969e-02	0	0	1.109556e+02	5.071178e+02	PPARG
GO_Biological_Process_2021	neuron projection organization (GO:0106027)	1/16	1.035321e-02	2.472969e-02	0	0	1.109556e+02	5.071178e+02	INSR
GO_Biological_Process_2021	acyl-CoA biosynthetic process (GO:0071616)	1/17	1.099699e-02	2.560411e-02	0	0	1.040156e+02	4.691243e+02	FASN
GO_Biological_Process_2021	negative regulation of insulin secretion (GO:0046676)	1/17	1.099699e-02	2.560411e-02	0	0	1.040156e+02	4.691243e+02	IRS1
GO_Biological_Process_2021	negative regulation of phagocytosis (GO:0050765)	1/17	1.099699e-02	2.560411e-02	0	0	1.040156e+02	4.691243e+02	ADIPOQ
GO_Biological_Process_2021	positive regulation of macrophage activation (GO:0043032)	1/17	1.099699e-02	2.560411e-02	0	0	1.040156e+02	4.691243e+02	CEBPA
GO_Biological_Process_2021	cellular response to fatty acid (GO:0071398)	1/17	1.099699e-02	2.560411e-02	0	0	1.040156e+02	4.691243e+02	IRS1
GO_Biological_Process_2021	regulation of protein-containing complex disassembly (GO:0043244)	1/18	1.164039e-02	2.617668e-02	0	0	9.789216e+01	4.359406e+02	INSR
GO_Biological_Process_2021	regulation of vascular endothelial cell proliferation (GO:1905562)	1/18	1.164039e-02	2.617668e-02	0	0	9.789216e+01	4.359406e+02	PPARG
GO_Biological_Process_2021	regulation of brown fat cell differentiation (GO:0090335)	1/18	1.164039e-02	2.617668e-02	0	0	9.789216e+01	4.359406e+02	LEP
GO_Biological_Process_2021	negative regulation of peptide hormone secretion (GO:0090278)	1/18	1.164039e-02	2.617668e-02	0	0	9.789216e+01	4.359406e+02	IRS1
GO_Biological_Process_2021	interleukin-6-mediated signaling pathway (GO:0070102)	1/18	1.164039e-02	2.617668e-02	0	0	9.789216e+01	4.359406e+02	CEBPA
GO_Biological_Process_2021	negative regulation of tumor necrosis factor-mediated signaling pathway (GO:0010804)	1/18	1.164039e-02	2.617668e-02	0	0	9.789216e+01	4.359406e+02	ADIPOQ
GO_Biological_Process_2021	triglyceride biosynthetic process (GO:0019432)	1/18	1.164039e-02	2.617668e-02	0	0	9.789216e+01	4.359406e+02	DGAT1
GO_Biological_Process_2021	response to fatty acid (GO:0070542)	1/19	1.228340e-02	2.709400e-02	0	0	9.244907e+01	4.067303e+02	IRS1
GO_Biological_Process_2021	positive regulation of leukocyte activation (GO:0002696)	1/19	1.228340e-02	2.709400e-02	0	0	9.244907e+01	4.067303e+02	CEBPA
GO_Biological_Process_2021	long-term memory (GO:0007616)	1/19	1.228340e-02	2.709400e-02	0	0	9.244907e+01	4.067303e+02	SLC2A4
GO_Biological_Process_2021	regulation of lymphocyte proliferation (GO:0050670)	1/19	1.228340e-02	2.709400e-02	0	0	9.244907e+01	4.067303e+02	LEP
GO_Biological_Process_2021	negative regulation of signal transduction (GO:0009968)	2/267	1.256854e-02	2.720957e-02	0	0	1.353139e+01	5.922092e+01	IRS1;ADIPOQ
GO_Biological_Process_2021	fatty acid transport (GO:0015908)	1/20	1.292602e-02	2.720957e-02	0	0	8.757895e+01	3.808382e+02	PPARG
GO_Biological_Process_2021	negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	1/20	1.292602e-02	2.720957e-02	0	0	8.757895e+01	3.808382e+02	CEBPA
GO_Biological_Process_2021	regulation of tissue remodeling (GO:0034103)	1/20	1.292602e-02	2.720957e-02	0	0	8.757895e+01	3.808382e+02	LEP
GO_Biological_Process_2021	glucose transmembrane transport (GO:1904659)	1/20	1.292602e-02	2.720957e-02	0	0	8.757895e+01	3.808382e+02	SLC2A4
GO_Biological_Process_2021	granulocyte differentiation (GO:0030851)	1/20	1.292602e-02	2.720957e-02	0	0	8.757895e+01	3.808382e+02	CEBPA
GO_Biological_Process_2021	negative regulation of lipid storage (GO:0010888)	1/20	1.292602e-02	2.720957e-02	0	0	8.757895e+01	3.808382e+02	PPARG
GO_Biological_Process_2021	hepaticobiliary system development (GO:0061008)	1/20	1.292602e-02	2.720957e-02	0	0	8.757895e+01	3.808382e+02	CEBPA
GO_Biological_Process_2021	regulation of protein kinase A signaling (GO:0010738)	1/20	1.292602e-02	2.720957e-02	0	0	8.757895e+01	3.808382e+02	ADIPOQ
GO_Biological_Process_2021	energy reserve metabolic process (GO:0006112)	1/20	1.292602e-02	2.720957e-02	0	0	8.757895e+01	3.808382e+02	LEP
GO_Biological_Process_2021	positive regulation of MAPK cascade (GO:0043410)	2/274	1.320362e-02	2.766758e-02	0	0	1.317848e+01	5.702675e+01	INSR;LEP
GO_Biological_Process_2021	negative regulation of cell communication (GO:0010648)	1/21	1.356826e-02	2.792396e-02	0	0	8.319583e+01	3.577439e+02	ADIPOQ
GO_Biological_Process_2021	regulation of transcription by RNA polymerase III (GO:0006359)	1/21	1.356826e-02	2.792396e-02	0	0	8.319583e+01	3.577439e+02	CEBPA
GO_Biological_Process_2021	positive regulation of glycolytic process (GO:0045821)	1/21	1.356826e-02	2.792396e-02	0	0	8.319583e+01	3.577439e+02	INSR
GO_Biological_Process_2021	positive regulation of purine nucleotide metabolic process (GO:1900544)	1/21	1.356826e-02	2.792396e-02	0	0	8.319583e+01	3.577439e+02	INSR
GO_Biological_Process_2021	negative regulation of cyclin-dependent protein kinase activity (GO:1904030)	1/22	1.421011e-02	2.898611e-02	0	0	7.923016e+01	3.370294e+02	CEBPA
GO_Biological_Process_2021	negative regulation of small molecule metabolic process (GO:0062014)	1/22	1.421011e-02	2.898611e-02	0	0	7.923016e+01	3.370294e+02	ADIPOQ
GO_Biological_Process_2021	acylglycerol biosynthetic process (GO:0046463)	1/23	1.485157e-02	2.963886e-02	0	0	7.562500e+01	3.183547e+02	DGAT1
GO_Biological_Process_2021	negative regulation of intracellular protein transport (GO:0090317)	1/23	1.485157e-02	2.963886e-02	0	0	7.562500e+01	3.183547e+02	ADIPOQ
GO_Biological_Process_2021	hexose transmembrane transport (GO:0008645)	1/23	1.485157e-02	2.963886e-02	0	0	7.562500e+01	3.183547e+02	SLC2A4
GO_Biological_Process_2021	regulation of interferon-gamma-mediated signaling pathway (GO:0060334)	1/23	1.485157e-02	2.963886e-02	0	0	7.562500e+01	3.183547e+02	PPARG
GO_Biological_Process_2021	positive regulation of receptor internalization (GO:0002092)	1/23	1.485157e-02	2.963886e-02	0	0	7.562500e+01	3.183547e+02	INSR
GO_Biological_Process_2021	positive regulation of carbohydrate metabolic process (GO:0045913)	1/24	1.549266e-02	3.026320e-02	0	0	7.233333e+01	3.014412e+02	INSR
GO_Biological_Process_2021	negative regulation of synaptic transmission (GO:0050805)	1/24	1.549266e-02	3.026320e-02	0	0	7.233333e+01	3.014412e+02	ADIPOQ
GO_Biological_Process_2021	positive regulation of p38MAPK cascade (GO:1900745)	1/24	1.549266e-02	3.026320e-02	0	0	7.233333e+01	3.014412e+02	LEP
GO_Biological_Process_2021	long-chain fatty-acyl-CoA metabolic process (GO:0035336)	1/24	1.549266e-02	3.026320e-02	0	0	7.233333e+01	3.014412e+02	DGAT1
GO_Biological_Process_2021	regulation of monooxygenase activity (GO:0032768)	1/24	1.549266e-02	3.026320e-02	0	0	7.233333e+01	3.014412e+02	LEP
GO_Biological_Process_2021	MAPK cascade (GO:0000165)	2/303	1.598170e-02	3.086089e-02	0	0	1.189127e+01	4.918600e+01	IRS1;IRS2
GO_Biological_Process_2021	negative regulation of cellular carbohydrate metabolic process (GO:0010677)	1/25	1.613335e-02	3.086089e-02	0	0	6.931597e+01	2.860578e+02	ADIPOQ
GO_Biological_Process_2021	negative regulation of signaling (GO:0023057)	1/25	1.613335e-02	3.086089e-02	0	0	6.931597e+01	2.860578e+02	ADIPOQ
GO_Biological_Process_2021	regulation of heterotypic cell-cell adhesion (GO:0034114)	1/25	1.613335e-02	3.086089e-02	0	0	6.931597e+01	2.860578e+02	ADIPOQ
GO_Biological_Process_2021	energy derivation by oxidation of organic compounds (GO:0015980)	1/25	1.613335e-02	3.086089e-02	0	0	6.931597e+01	2.860578e+02	LEP
GO_Biological_Process_2021	negative regulation of protein transport (GO:0051224)	1/26	1.677366e-02	3.143357e-02	0	0	6.654000e+01	2.720119e+02	ADIPOQ
GO_Biological_Process_2021	negative regulation of receptor-mediated endocytosis (GO:0048261)	1/26	1.677366e-02	3.143357e-02	0	0	6.654000e+01	2.720119e+02	ADIPOQ
GO_Biological_Process_2021	cellular response to drug (GO:0035690)	1/26	1.677366e-02	3.143357e-02	0	0	6.654000e+01	2.720119e+02	ADIPOQ
GO_Biological_Process_2021	negative regulation of signaling receptor activity (GO:2000272)	1/26	1.677366e-02	3.143357e-02	0	0	6.654000e+01	2.720119e+02	PPARG
GO_Biological_Process_2021	mononuclear cell differentiation (GO:1903131)	1/26	1.677366e-02	3.143357e-02	0	0	6.654000e+01	2.720119e+02	PPARG
GO_Biological_Process_2021	regulation of vasculature development (GO:1901342)	1/27	1.741359e-02	3.198273e-02	0	0	6.397756e+01	2.591414e+02	LEP
GO_Biological_Process_2021	negative regulation of insulin receptor signaling pathway (GO:0046627)	1/27	1.741359e-02	3.198273e-02	0	0	6.397756e+01	2.591414e+02	IRS1
GO_Biological_Process_2021	positive regulation of nitric oxide biosynthetic process (GO:0045429)	1/27	1.741359e-02	3.198273e-02	0	0	6.397756e+01	2.591414e+02	INSR
GO_Biological_Process_2021	positive regulation of nuclear division (GO:0051785)	1/27	1.741359e-02	3.198273e-02	0	0	6.397756e+01	2.591414e+02	INSR
GO_Biological_Process_2021	dendritic spine organization (GO:0097061)	1/27	1.741359e-02	3.198273e-02	0	0	6.397756e+01	2.591414e+02	INSR
GO_Biological_Process_2021	regulation of small molecule metabolic process (GO:0062012)	1/28	1.805313e-02	3.225772e-02	0	0	6.160494e+01	2.473091e+02	ADIPOQ
GO_Biological_Process_2021	positive regulation of cell communication (GO:0010647)	1/28	1.805313e-02	3.225772e-02	0	0	6.160494e+01	2.473091e+02	ADIPOQ
GO_Biological_Process_2021	negative regulation of cellular response to insulin stimulus (GO:1900077)	1/28	1.805313e-02	3.225772e-02	0	0	6.160494e+01	2.473091e+02	IRS1
GO_Biological_Process_2021	positive regulation of nitric oxide metabolic process (GO:1904407)	1/28	1.805313e-02	3.225772e-02	0	0	6.160494e+01	2.473091e+02	INSR
GO_Biological_Process_2021	cellular response to interleukin-6 (GO:0071354)	1/28	1.805313e-02	3.225772e-02	0	0	6.160494e+01	2.473091e+02	CEBPA
GO_Biological_Process_2021	positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552)	1/28	1.805313e-02	3.225772e-02	0	0	6.160494e+01	2.473091e+02	IRS1
GO_Biological_Process_2021	regulation of multicellular organismal development (GO:2000026)	1/28	1.805313e-02	3.225772e-02	0	0	6.160494e+01	2.473091e+02	INSR
GO_Biological_Process_2021	negative regulation of myeloid leukocyte differentiation (GO:0002762)	1/29	1.869229e-02	3.264070e-02	0	0	5.940179e+01	2.363980e+02	ADIPOQ
GO_Biological_Process_2021	regulation of DNA biosynthetic process (GO:2000278)	1/29	1.869229e-02	3.264070e-02	0	0	5.940179e+01	2.363980e+02	ADIPOQ
GO_Biological_Process_2021	regulation of fatty acid biosynthetic process (GO:0042304)	1/29	1.869229e-02	3.264070e-02	0	0	5.940179e+01	2.363980e+02	ADIPOQ
GO_Biological_Process_2021	regulation of gluconeogenesis (GO:0006111)	1/29	1.869229e-02	3.264070e-02	0	0	5.940179e+01	2.363980e+02	ADIPOQ
GO_Biological_Process_2021	lipid catabolic process (GO:0016042)	1/29	1.869229e-02	3.264070e-02	0	0	5.940179e+01	2.363980e+02	LIPE
GO_Biological_Process_2021	negative regulation of transferase activity (GO:0051348)	1/29	1.869229e-02	3.264070e-02	0	0	5.940179e+01	2.363980e+02	IRS2
GO_Biological_Process_2021	positive regulation of cytokine production (GO:0001819)	2/335	1.931450e-02	3.276330e-02	0	0	1.073109e+01	4.235455e+01	LEP;ADIPOQ
GO_Biological_Process_2021	positive regulation of B cell proliferation (GO:0030890)	1/30	1.933106e-02	3.276330e-02	0	0	5.735057e+01	2.263078e+02	IRS2
GO_Biological_Process_2021	fatty-acyl-CoA biosynthetic process (GO:0046949)	1/30	1.933106e-02	3.276330e-02	0	0	5.735057e+01	2.263078e+02	FASN
GO_Biological_Process_2021	respiratory tube development (GO:0030323)	1/30	1.933106e-02	3.276330e-02	0	0	5.735057e+01	2.263078e+02	CEBPA
GO_Biological_Process_2021	positive regulation of lipid kinase activity (GO:0090218)	1/30	1.933106e-02	3.276330e-02	0	0	5.735057e+01	2.263078e+02	IRS1
GO_Biological_Process_2021	positive regulation of small GTPase mediated signal transduction (GO:0051057)	1/30	1.933106e-02	3.276330e-02	0	0	5.735057e+01	2.263078e+02	IRS2
GO_Biological_Process_2021	regulation of macrophage activation (GO:0043030)	1/30	1.933106e-02	3.276330e-02	0	0	5.735057e+01	2.263078e+02	CEBPA
GO_Biological_Process_2021	regulation of natural killer cell mediated cytotoxicity (GO:0042269)	1/30	1.933106e-02	3.276330e-02	0	0	5.735057e+01	2.263078e+02	LEP
GO_Biological_Process_2021	activation of protein kinase B activity (GO:0032148)	1/31	1.996945e-02	3.347606e-02	0	0	5.543611e+01	2.169521e+02	INSR
GO_Biological_Process_2021	receptor signaling pathway via JAK-STAT (GO:0007259)	1/31	1.996945e-02	3.347606e-02	0	0	5.543611e+01	2.169521e+02	LEP
GO_Biological_Process_2021	negative regulation of osteoblast differentiation (GO:0045668)	1/31	1.996945e-02	3.347606e-02	0	0	5.543611e+01	2.169521e+02	PPARG
GO_Biological_Process_2021	positive regulation of multicellular organismal process (GO:0051240)	2/345	2.041185e-02	3.368808e-02	0	0	1.041293e+01	4.052339e+01	LEP;ADIPOQ
GO_Biological_Process_2021	negative regulation of DNA biosynthetic process (GO:2000279)	1/32	2.060746e-02	3.368808e-02	0	0	5.364516e+01	2.082560e+02	ADIPOQ
GO_Biological_Process_2021	regulation of cellular biosynthetic process (GO:0031326)	1/32	2.060746e-02	3.368808e-02	0	0	5.364516e+01	2.082560e+02	ADIPOQ
GO_Biological_Process_2021	liver development (GO:0001889)	1/32	2.060746e-02	3.368808e-02	0	0	5.364516e+01	2.082560e+02	CEBPA
GO_Biological_Process_2021	long-chain fatty acid transport (GO:0015909)	1/32	2.060746e-02	3.368808e-02	0	0	5.364516e+01	2.082560e+02	PPARG
GO_Biological_Process_2021	regulation of intracellular protein transport (GO:0033157)	1/32	2.060746e-02	3.368808e-02	0	0	5.364516e+01	2.082560e+02	ADIPOQ
GO_Biological_Process_2021	positive regulation of receptor signaling pathway via STAT (GO:1904894)	1/32	2.060746e-02	3.368808e-02	0	0	5.364516e+01	2.082560e+02	LEP
GO_Biological_Process_2021	positive regulation of ATP metabolic process (GO:1903580)	1/33	2.124508e-02	3.437885e-02	0	0	5.196615e+01	2.001544e+02	INSR
GO_Biological_Process_2021	positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	1/33	2.124508e-02	3.437885e-02	0	0	5.196615e+01	2.001544e+02	LEP
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	3/948	2.125373e-02	3.437885e-02	0	0	6.045079e+00	2.328095e+01	CEBPA;ADIPOQ;PPARG
GO_Biological_Process_2021	negative regulation of blood vessel endothelial cell migration (GO:0043537)	1/34	2.188232e-02	3.490571e-02	0	0	5.038889e+01	1.925902e+02	PPARG
GO_Biological_Process_2021	positive regulation of DNA binding (GO:0043388)	1/34	2.188232e-02	3.490571e-02	0	0	5.038889e+01	1.925902e+02	PPARG
GO_Biological_Process_2021	positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	1/34	2.188232e-02	3.490571e-02	0	0	5.038889e+01	1.925902e+02	PPARG
GO_Biological_Process_2021	phosphatidylinositol 3-kinase signaling (GO:0014065)	1/34	2.188232e-02	3.490571e-02	0	0	5.038889e+01	1.925902e+02	IRS1
GO_Biological_Process_2021	acylglycerol catabolic process (GO:0046464)	1/35	2.251918e-02	3.531068e-02	0	0	4.890441e+01	1.855134e+02	LIPE
GO_Biological_Process_2021	respiratory system development (GO:0060541)	1/35	2.251918e-02	3.531068e-02	0	0	4.890441e+01	1.855134e+02	CEBPA
GO_Biological_Process_2021	lung development (GO:0030324)	1/35	2.251918e-02	3.531068e-02	0	0	4.890441e+01	1.855134e+02	CEBPA
GO_Biological_Process_2021	regulation of lipid biosynthetic process (GO:0046890)	1/35	2.251918e-02	3.531068e-02	0	0	4.890441e+01	1.855134e+02	ADIPOQ
GO_Biological_Process_2021	regulation of phosphatidylinositol 3-kinase activity (GO:0043551)	1/35	2.251918e-02	3.531068e-02	0	0	4.890441e+01	1.855134e+02	IRS1
GO_Biological_Process_2021	regulation of receptor internalization (GO:0002090)	1/36	2.315565e-02	3.558251e-02	0	0	4.750476e+01	1.788800e+02	INSR
GO_Biological_Process_2021	negative regulation of cellular protein localization (GO:1903828)	1/36	2.315565e-02	3.558251e-02	0	0	4.750476e+01	1.788800e+02	ADIPOQ
GO_Biological_Process_2021	negative regulation of DNA metabolic process (GO:0051053)	1/36	2.315565e-02	3.558251e-02	0	0	4.750476e+01	1.788800e+02	ADIPOQ
GO_Biological_Process_2021	negative regulation of fat cell differentiation (GO:0045599)	1/36	2.315565e-02	3.558251e-02	0	0	4.750476e+01	1.788800e+02	ADIPOQ
GO_Biological_Process_2021	regulation of embryonic development (GO:0045995)	1/36	2.315565e-02	3.558251e-02	0	0	4.750476e+01	1.788800e+02	INSR
GO_Biological_Process_2021	positive regulation of mitotic nuclear division (GO:0045840)	1/36	2.315565e-02	3.558251e-02	0	0	4.750476e+01	1.788800e+02	INSR
GO_Biological_Process_2021	negative regulation of endothelial cell proliferation (GO:0001937)	1/37	2.379174e-02	3.619799e-02	0	0	4.618287e+01	1.726508e+02	PPARG
GO_Biological_Process_2021	regulation of p38MAPK cascade (GO:1900744)	1/37	2.379174e-02	3.619799e-02	0	0	4.618287e+01	1.726508e+02	LEP
GO_Biological_Process_2021	regulation of protein autophosphorylation (GO:0031952)	1/37	2.379174e-02	3.619799e-02	0	0	4.618287e+01	1.726508e+02	ADIPOQ
GO_Biological_Process_2021	negative regulation of cell population proliferation (GO:0008285)	2/379	2.433547e-02	3.656186e-02	0	0	9.457439e+00	3.514215e+01	CEBPA;PPARG
GO_Biological_Process_2021	positive regulation of cell development (GO:0010720)	1/38	2.442745e-02	3.656186e-02	0	0	4.493243e+01	1.667913e+02	ADIPOQ
GO_Biological_Process_2021	negative regulation of endothelial cell migration (GO:0010596)	1/38	2.442745e-02	3.656186e-02	0	0	4.493243e+01	1.667913e+02	PPARG
GO_Biological_Process_2021	positive regulation of insulin secretion (GO:0032024)	1/38	2.442745e-02	3.656186e-02	0	0	4.493243e+01	1.667913e+02	IRS2
GO_Biological_Process_2021	positive regulation of signaling (GO:0023056)	1/38	2.442745e-02	3.656186e-02	0	0	4.493243e+01	1.667913e+02	ADIPOQ
GO_Biological_Process_2021	response to peptide (GO:1901652)	1/39	2.506278e-02	3.715093e-02	0	0	4.374781e+01	1.612707e+02	IRS1
GO_Biological_Process_2021	negative regulation of protein secretion (GO:0050709)	1/39	2.506278e-02	3.715093e-02	0	0	4.374781e+01	1.612707e+02	IRS1
GO_Biological_Process_2021	regulation of nitric-oxide synthase activity (GO:0050999)	1/39	2.506278e-02	3.715093e-02	0	0	4.374781e+01	1.612707e+02	LEP
GO_Biological_Process_2021	fatty acid derivative biosynthetic process (GO:1901570)	1/40	2.569772e-02	3.772818e-02	0	0	4.262393e+01	1.560613e+02	FASN
GO_Biological_Process_2021	negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124)	1/40	2.569772e-02	3.772818e-02	0	0	4.262393e+01	1.560613e+02	ADIPOQ
GO_Biological_Process_2021	regulation of nitric oxide biosynthetic process (GO:0045428)	1/40	2.569772e-02	3.772818e-02	0	0	4.262393e+01	1.560613e+02	INSR
GO_Biological_Process_2021	acylglycerol metabolic process (GO:0006639)	1/41	2.633229e-02	3.817353e-02	0	0	4.155625e+01	1.511384e+02	DGAT1
GO_Biological_Process_2021	negative regulation of cell-cell adhesion (GO:0022408)	1/41	2.633229e-02	3.817353e-02	0	0	4.155625e+01	1.511384e+02	ADIPOQ
GO_Biological_Process_2021	T cell differentiation (GO:0030217)	1/41	2.633229e-02	3.817353e-02	0	0	4.155625e+01	1.511384e+02	LEP
GO_Biological_Process_2021	positive regulation of TOR signaling (GO:0032008)	1/41	2.633229e-02	3.817353e-02	0	0	4.155625e+01	1.511384e+02	LEP
GO_Biological_Process_2021	phosphorylation (GO:0016310)	2/400	2.690356e-02	3.887943e-02	0	0	8.948835e+00	3.235448e+01	LIPE;INSR
GO_Biological_Process_2021	regulation of cytokine production involved in inflammatory response (GO:1900015)	1/43	2.760027e-02	3.963777e-02	0	0	3.957341e+01	1.420658e+02	LEP
GO_Biological_Process_2021	positive regulation of peptide hormone secretion (GO:0090277)	1/43	2.760027e-02	3.963777e-02	0	0	3.957341e+01	1.420658e+02	IRS2
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	2/408	2.791016e-02	3.995833e-02	0	0	8.768921e+00	3.138190e+01	INSR;ADIPOQ
GO_Biological_Process_2021	positive regulation of receptor-mediated endocytosis (GO:0048260)	1/44	2.823369e-02	4.029638e-02	0	0	3.865116e+01	1.378780e+02	INSR
GO_Biological_Process_2021	regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	1/45	2.886673e-02	4.082074e-02	0	0	3.777083e+01	1.339001e+02	LEP
GO_Biological_Process_2021	regulation of insulin receptor signaling pathway (GO:0046626)	1/45	2.886673e-02	4.082074e-02	0	0	3.777083e+01	1.339001e+02	IRS1
GO_Biological_Process_2021	regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	1/45	2.886673e-02	4.082074e-02	0	0	3.777083e+01	1.339001e+02	PPARG
GO_Biological_Process_2021	regulation of B cell proliferation (GO:0030888)	1/46	2.949938e-02	4.133500e-02	0	0	3.692963e+01	1.301173e+02	IRS2
GO_Biological_Process_2021	negative regulation of tumor necrosis factor production (GO:0032720)	1/46	2.949938e-02	4.133500e-02	0	0	3.692963e+01	1.301173e+02	ADIPOQ
GO_Biological_Process_2021	positive regulation of response to stimulus (GO:0048584)	1/46	2.949938e-02	4.133500e-02	0	0	3.692963e+01	1.301173e+02	ADIPOQ
